Nombre Laboratorio,Descripcion Laboratorio,Institucion Laboratorio
FPGA Laboratory,Learn Hardware design with FPGAs using any LabsLand FPGA,LabsLand FPGA Community
Intel DE2-115,Learn Hardware design with FPGAs using DE2-115,LabsLand FPGA Community
Intel DE1-SoC,Learn Hardware design with FPGAs using DE1-SoC,LabsLand FPGA Community
Cámara Termográfica,Cámara Termográfica: Medición. Accede al laboratorio para conocer cómo realizar una medición térmica en una Edificación por medio de un equipo como la Cámara Termográfica.,UNIR
Luxómetro,Luxómetro: Medición de iluminación. Accede al laboratorio para conocer cómo se lleva a cabo el estudio de la iluminación en una Edificación por medio de un equipo como el luxómetro.,UNIR
Sonómetro,Sonómetro: Valores acústicos. Accede al laboratorio para descubrir cómo se lleva a cabo la medición de las condiciones acústicas de un edificio por medio de un equipo como el sonómetro.,UNIR
Bomba Centrífuga,"Experimenta con una bomba centrífuga y configura el circuito cambiando el estado de las válvulas, para que sea en serie o en paralelo.",Università del Salento
Turbina de Pelton,"Experimenta con una Turbina de Pelton, variando parámetros como el RPM y la apertura.",Università del Salento
Analizador de Textura,Analiza la textura de alimentos y mide algunas de sus características físicas.,Universidad Estatal a Distancia
Amplificador de Colector Común,Laboratorio de circuito Amplificador de Colector Común,Siddaganga Institute of Technology
Filtro Paso-Alto,Laboratorio de circuito Filtro Paso-Alto,Siddaganga Institute of Technology
Filtro Paso-Bajo,Laboratorio de circuito Filtro Paso-Bajo,Siddaganga Institute of Technology
Amplificador de Emisor Común,Laboratorio de circuito Amplificador de Emisor Común,Siddaganga Institute of Technology
Amplificador Operacional con Inversión,Laboratorio de circuito de Amplificador Operacional con Inversión,Siddaganga Institute of Technology
Amplificador Operacional sin Inversión,Laboratorio de circuito de Amplificador Operacional sin Inversión,Siddaganga Institute of Technology
Multivibrador Astable con Temporizador 555,Laboratorio de circuito Multivibrador astable con Temporizador 555,Siddaganga Institute of Technology
